topology,layout,permutation,input_port,output_port,route_status,failure_reason,physical_wiring_um,bend_count,crossing_count,physical_il_db,topology_il_db,il_delta_db,topology_wiring_um,wiring_delta_um,mrr_loss_db,sxr_db,n_logical,layer,perm_idx,seed
spanke_benes_5x5,default,3-1-2-0-4,2,2,routed,,1578.079633,20,8,6.136073,3.865913,2.270159,893.000000,685.079633,2.079913,6.526555,5,physical,2,42
spanke_benes_5x5,default,3-1-2-0-4,3,0,routed,,1186.517688,17,5,5.298232,3.950196,1.348035,805.000000,381.517688,2.340196,5.300500,5,physical,2,42
spanke_benes_5x5,default,3-1-2-0-4,4,4,routed,,1052.123890,6,4,2.757012,1.784764,0.972248,781.000000,271.123890,0.222764,25.561456,5,physical,2,42
padded_benes_8x8,default,3-1-2-4-0-5,0,3,routed,,1026.225651,19,10,5.227365,3.365913,1.861451,643.000000,383.225651,2.079913,7.797064,6,physical,0,42
padded_benes_8x8,default,3-1-2-4-0-5,1,1,routed,,1264.079633,20,9,4.641979,2.519820,2.122159,703.000000,561.079633,1.113820,16.439022,6,physical,0,42
padded_benes_8x8,default,3-1-2-4-0-5,2,2,routed,,1611.349541,25,13,6.727612,3.693913,3.033699,807.000000,804.349541,2.079913,6.655926,6,physical,0,42
padded_benes_8x8,default,3-1-2-4-0-5,3,4,routed,,1580.619449,30,9,6.774199,4.072960,2.701239,755.000000,825.619449,2.562960,6.092197,6,physical,0,42
padded_benes_8x8,default,3-1-2-4-0-5,4,0,failed,"capped rip-up hop exhausted bounded candidates before A*: same-net avoidance candidate segment is blocked; blocked_by=unknown/forbidden_point at=(160.000,40.000):(160.000,68.000)->(160.000,-16.000)",,,,,3.952960,,695.000000,,2.562960,6.539144,6,physical,0,42
padded_benes_8x8,default,3-1-2-4-0-5,5,5,routed,,1664.079633,20,9,5.441979,2.839820,2.602159,863.000000,801.079633,1.113820,18.098039,6,physical,0,42
padded_benes_8x8,default,3-0-2-4-5-1,0,3,routed,,1026.225651,19,10,5.227365,3.365913,1.861451,643.000000,383.225651,2.079913,8.007128,6,physical,1,42
padded_benes_8x8,default,3-0-2-4-5-1,1,0,routed,,1163.787596,22,9,4.934442,2.970867,1.963575,687.000000,476.787596,1.596867,11.373703,6,physical,1,42
padded_benes_8x8,default,3-0-2-4-5-1,2,2,routed,,1611.349541,25,13,6.727612,3.693913,3.033699,807.000000,804.349541,2.079913,6.655926,6,physical,1,42
padded_benes_8x8,default,3-0-2-4-5-1,3,4,routed,,1580.619449,30,9,6.774199,4.072960,2.701239,755.000000,825.619449,2.562960,6.300444,6,physical,1,42
padded_benes_8x8,default,3-0-2-4-5-1,4,5,routed,,1538.225651,19,9,5.668318,3.290867,2.377451,847.000000,691.225651,1.596867,9.300948,6,physical,1,42
padded_benes_8x8,default,3-0-2-4-5-1,5,1,failed,"capped rip-up hop exhausted bounded candidates before A*: same-net avoidance candidate segment is blocked; blocked_by=unknown/forbidden_point at=(160.000,40.000):(160.000,68.000)->(160.000,-16.000)",,,,,4.983054,,727.000000,,3.529054,2.597273,6,physical,1,42
padded_benes_8x8,default,3-1-2-0-4-5,0,3,routed,,988.517688,17,12,5.341949,3.365913,1.976035,643.000000,345.517688,2.079913,7.430130,6,physical,2,42
padded_benes_8x8,default,3-1-2-0-4-5,1,1,routed,,1232.663706,16,15,5.159147,2.519820,2.639327,703.000000,529.663706,1.113820,16.302483,6,physical,2,42
padded_benes_8x8,default,3-1-2-0-4-5,2,2,routed,,1864.765467,29,20,7.954444,3.693913,4.260531,807.000000,1057.765467,2.079913,6.655926,6,physical,2,42
padded_benes_8x8,default,3-1-2-0-4-5,3,0,routed,,1419.641578,23,17,6.734196,3.685913,3.048283,803.000000,616.641578,2.079913,6.359390,6,physical,2,42
padded_benes_8x8,default,3-1-2-0-4-5,4,4,routed,,1170.517688,17,16,5.139855,2.599820,2.540035,743.000000,427.517688,1.113820,17.979594,6,physical,2,42
padded_benes_8x8,default,3-1-2-0-4-5,5,5,routed,,1718.079633,20,16,6.249979,2.839820,3.410159,863.000000,855.079633,1.113820,17.840002,6,physical,2,42
waksman_6x6,default,3-1-2-4-0-5,0,3,routed,,1481.057504,27,17,6.654264,3.095149,3.559115,619.000000,862.057504,1.857149,7.530738,6,physical,0,42
waksman_6x6,default,3-1-2-4-0-5,1,1,routed,,1232.663706,16,15,5.159147,2.519820,2.639327,703.000000,529.663706,1.113820,16.137174,6,physical,0,42
waksman_6x6,default,3-1-2-4-0-5,2,2,routed,,1575.641578,23,21,7.223433,3.103149,4.120283,623.000000,952.641578,1.857149,7.166571,6,physical,0,42
waksman_6x6,default,3-1-2-4-0-5,3,4,routed,,1136.371669,18,11,5.580176,3.391432,2.188743,637.000000,499.371669,2.117432,4.988902,6,physical,0,42
waksman_6x6,default,3-1-2-4-0-5,4,0,routed,,903.539816,10,12,4.431182,2.660103,1.771080,643.000000,260.539816,1.374103,10.886557,6,physical,0,42
waksman_6x6,default,3-1-2-4-0-5,5,5,routed,,1155.539816,10,12,4.006608,1.727528,2.279080,641.000000,514.539816,0.445528,20.708013,6,physical,0,42
waksman_6x6,default,3-0-2-4-5-1,0,3,routed,,1351.933614,21,12,5.866017,3.095149,2.770867,619.000000,732.933614,1.857149,7.543548,6,physical,1,42
waksman_6x6,default,3-0-2-4-5-1,1,0,routed,,1132.371669,18,11,5.051610,2.970867,2.080743,687.000000,445.371669,1.596867,10.464199,6,physical,1,42
waksman_6x6,default,3-0-2-4-5-1,2,2,routed,,1421.641578,23,15,6.315433,3.103149,3.212283,623.000000,798.641578,1.857149,7.166571,6,physical,1,42
waksman_6x6,default,3-0-2-4-5-1,3,4,routed,,1136.079633,20,10,5.489591,3.391432,2.098159,637.000000,499.079633,2.117432,5.141088,6,physical,1,42
waksman_6x6,default,3-0-2-4-5-1,4,5,routed,,1155.393798,11,8,4.094362,2.178575,1.915788,625.000000,530.393798,0.928575,10.602701,6,physical,1,42
waksman_6x6,default,3-0-2-4-5-1,5,1,failed,"cannot route waksman_6x6_s0_w4_5.th to waksman_6x6_s2_w0_4.add on physical grid: A* pop limit exceeded; soft_repeat=I0/repeated_crossing pair=I0-I5 at=(152.000,72.000) source=I5->I0@(144.000,83.000):(144.000,83.000)->(152.000,83.000)x(144.000,140.000)->(144.000,72.000) counters=port_access:68,window:886,same_net:1098,crossing_candidate:58,crossing_budget:0,hard_reserved_crossing:0,soft_repeated_crossing:1046,soft_reserved_crossing:0,reserved_spacing:160,segment:3520,pops:20001,max_heap:673",,,,,3.690196,,675.000000,,2.340196,5.188018,6,physical,1,42
waksman_6x6,default,3-1-2-0-4-5,0,3,routed,,1109.787596,22,10,5.409489,3.365913,2.043575,643.000000,466.787596,2.079913,7.217420,6,physical,2,42
waksman_6x6,default,3-1-2-0-4-5,1,1,routed,,1232.663706,16,11,4.759147,2.519820,2.239327,703.000000,529.663706,1.113820,16.215092,6,physical,2,42
waksman_6x6,default,3-1-2-0-4-5,2,2,routed,,1755.057504,27,11,6.602264,3.103149,3.499115,623.000000,1132.057504,1.857149,7.256114,6,physical,2,42
waksman_6x6,default,3-1-2-0-4-5,3,0,failed,"capped rip-up hop exhausted bounded candidates before A*: same-net avoidance candidate segment is blocked; blocked_by=unknown/forbidden_point at=(115.000,144.000):(115.000,94.000)->(115.000,200.000)",,,,,3.095149,,619.000000,,1.857149,6.972152,6,physical,2,42
waksman_6x6,default,3-1-2-0-4-5,4,4,routed,,991.685835,9,10,3.473900,1.719528,1.754372,637.000000,354.685835,0.445528,20.640580,6,physical,2,42
waksman_6x6,default,3-1-2-0-4-5,5,5,routed,,1187.539816,10,10,3.870608,1.727528,2.143080,641.000000,546.539816,0.445528,20.708013,6,physical,2,42
spanke_benes_6x6,default,3-1-2-4-0-5,0,3,routed,,1396.517688,17,2,5.640995,4.560960,1.080035,999.000000,397.517688,2.562960,4.452105,6,physical,0,42
spanke_benes_6x6,default,3-1-2-4-0-5,1,1,failed,"capped rip-up hop exhausted bounded candidates before A*: same-net avoidance candidate segment is blocked; blocked_by=unknown/forbidden_point at=(265.000,166.000):(265.000,158.000)->(265.000,224.000); source=I1->I0@(48.000,166.000):(48.000,158.000)->(48.000,179.000)x(20.000,166.000)->(55.000,166.000)",,,,,4.667441,,1071.000000,,2.525441,5.963810,6,physical,0,42
spanke_benes_6x6,default,3-1-2-4-0-5,2,2,routed,,2043.203522,26,6,7.341848,4.843441,2.498407,1159.000000,884.203522,2.525441,5.905208,6,physical,0,42
spanke_benes_6x6,default,3-1-2-4-0-5,3,4,routed,,1704.663706,16,7,5.563430,3.524103,2.039327,1075.000000,629.663706,1.374103,9.188536,6,physical,0,42
spanke_benes_6x6,default,3-1-2-4-0-5,4,0,routed,,1785.495559,24,7,7.659762,5.498771,2.160991,1115.000000,670.495559,3.268771,2.825311,6,physical,0,42
spanke_benes_6x6,default,3-1-2-4-0-5,5,5,routed,,1264.123890,6,2,2.981012,2.204764,0.776248,991.000000,273.123890,0.222764,23.246787,6,physical,0,42
spanke_benes_6x6,default,3-0-2-4-5-1,0,3,routed,,1396.517688,17,2,5.640995,4.560960,1.080035,999.000000,397.517688,2.562960,4.530004,6,physical,1,42
spanke_benes_6x6,default,3-0-2-4-5-1,1,0,failed,"capped rip-up hop exhausted bounded candidates before A*: same-net avoidance candidate segment is blocked; blocked_by=unknown/forbidden_point at=(265.000,166.000):(265.000,158.000)->(265.000,224.000); source=I1->I0@(48.000,166.000):(48.000,158.000)->(48.000,179.000)x(20.000,166.000)->(55.000,166.000)",,,,,4.152394,,1055.000000,,2.042394,8.042596,6,physical,1,42
spanke_benes_6x6,default,3-0-2-4-5-1,2,2,routed,,2043.203522,26,6,7.341848,4.843441,2.498407,1159.000000,884.203522,2.525441,6.004190,6,physical,1,42
spanke_benes_6x6,default,3-0-2-4-5-1,3,4,routed,,1720.371669,18,7,5.604846,3.524103,2.080743,1075.000000,645.371669,1.374103,9.406832,6,physical,1,42
spanke_benes_6x6,default,3-0-2-4-5-1,4,5,routed,,1359.539816,10,3,3.997654,2.966575,1.031080,1019.000000,340.539816,0.928575,9.802975,6,physical,1,42
spanke_benes_6x6,default,3-0-2-4-5-1,5,1,routed,,1773.641578,23,4,7.108290,5.252007,1.856283,1103.000000,670.641578,3.046007,2.766087,6,physical,1,42
spanke_benes_6x6,default,3-1-2-0-4-5,0,3,failed,"cannot route spanke_benes_6x6_s0_w0_1.th to spanke_benes_6x6_s2_w0_1.in on physical grid: A* pop limit exceeded; soft_repeat=I1/repeated_crossing pair=I0-I1 at=(160.000,166.000) source=I0->I1@(48.000,166.000):(20.000,166.000)->(55.000,166.000)x(48.000,158.000)->(48.000,179.000) counters=port_access:153,window:968,same_net:818,crossing_candidate:81,crossing_budget:0,hard_reserved_crossing:0,soft_repeated_crossing:1507,soft_reserved_crossing:0,reserved_spacing:266,segment:3024,pops:20001,max_heap:895",,,,,4.560960,,999.000000,,2.562960,4.370897,6,physical,2,42
