edge_id,waveguide_owner_edge_id,kind,source_endpoint,source_wire,source_blocked,target_endpoint,target_wire,target_blocked,source_stage,target_stage
stage:3:w8:padded_benes_16x16_s3_w0_8.drop->padded_benes_16x16_s4_w8_12.in:w8,input:w8->padded_benes_16x16_s0_w8_9.in,interstage,padded_benes_16x16_s3_w0_8.drop,8,False,padded_benes_16x16_s4_w8_12.in,8,False,3,4
stage:3:w9:padded_benes_16x16_s3_w1_9.drop->padded_benes_16x16_s4_w9_13.in:w9,input:w9->padded_benes_16x16_s0_w8_9.add,interstage,padded_benes_16x16_s3_w1_9.drop,9,False,padded_benes_16x16_s4_w9_13.in,9,False,3,4
stage:3:w10:padded_benes_16x16_s3_w2_10.drop->padded_benes_16x16_s4_w10_14.in:w10,input:w10->padded_benes_16x16_s0_w10_11.in,interstage,padded_benes_16x16_s3_w2_10.drop,10,False,padded_benes_16x16_s4_w10_14.in,10,False,3,4
stage:3:w11:padded_benes_16x16_s3_w3_11.drop->padded_benes_16x16_s4_w11_15.in:w11,input:w11->padded_benes_16x16_s0_w10_11.add,interstage,padded_benes_16x16_s3_w3_11.drop,11,False,padded_benes_16x16_s4_w11_15.in,11,False,3,4
stage:3:w12:padded_benes_16x16_s3_w4_12.drop->padded_benes_16x16_s4_w8_12.add:w12,input:w12->padded_benes_16x16_s0_w12_13.in,interstage,padded_benes_16x16_s3_w4_12.drop,12,False,padded_benes_16x16_s4_w8_12.add,12,False,3,4
stage:3:w13:padded_benes_16x16_s3_w5_13.drop->padded_benes_16x16_s4_w9_13.add:w13,input:w13->padded_benes_16x16_s0_w12_13.add,interstage,padded_benes_16x16_s3_w5_13.drop,13,False,padded_benes_16x16_s4_w9_13.add,13,False,3,4
stage:3:w14:padded_benes_16x16_s3_w6_14.drop->padded_benes_16x16_s4_w10_14.add:w14,input:w14->padded_benes_16x16_s0_w14_15.in,interstage,padded_benes_16x16_s3_w6_14.drop,14,False,padded_benes_16x16_s4_w10_14.add,14,False,3,4
stage:3:w15:padded_benes_16x16_s3_w7_15.drop->padded_benes_16x16_s4_w11_15.add:w15,input:w15->padded_benes_16x16_s0_w14_15.add,interstage,padded_benes_16x16_s3_w7_15.drop,15,False,padded_benes_16x16_s4_w11_15.add,15,False,3,4
stage:4:w0:padded_benes_16x16_s4_w0_4.th->padded_benes_16x16_s5_w0_2.in:w0,input:w0->padded_benes_16x16_s0_w0_1.in,interstage,padded_benes_16x16_s4_w0_4.th,0,False,padded_benes_16x16_s5_w0_2.in,0,False,4,5
stage:4:w1:padded_benes_16x16_s4_w1_5.th->padded_benes_16x16_s5_w1_3.in:w1,input:w1->padded_benes_16x16_s0_w0_1.add,interstage,padded_benes_16x16_s4_w1_5.th,1,False,padded_benes_16x16_s5_w1_3.in,1,False,4,5
