edge_id,kind,source,target,source_blocked,target_blocked
stage:5:w9:padded_benes_16x16_s5_w9_11.th->padded_benes_16x16_s6_w8_9.add:w9,interstage,padded_benes_16x16_s5_w9_11.th,padded_benes_16x16_s6_w8_9.add,False,False
stage:5:w10:padded_benes_16x16_s5_w8_10.drop->padded_benes_16x16_s6_w10_11.in:w10,interstage,padded_benes_16x16_s5_w8_10.drop,padded_benes_16x16_s6_w10_11.in,False,False
stage:5:w11:padded_benes_16x16_s5_w9_11.drop->padded_benes_16x16_s6_w10_11.add:w11,interstage,padded_benes_16x16_s5_w9_11.drop,padded_benes_16x16_s6_w10_11.add,False,False
stage:5:w12:padded_benes_16x16_s5_w12_14.th->padded_benes_16x16_s6_w12_13.in:w12,interstage,padded_benes_16x16_s5_w12_14.th,padded_benes_16x16_s6_w12_13.in,False,False
stage:5:w13:padded_benes_16x16_s5_w13_15.th->padded_benes_16x16_s6_w12_13.add:w13,interstage,padded_benes_16x16_s5_w13_15.th,padded_benes_16x16_s6_w12_13.add,False,False
stage:5:w14:padded_benes_16x16_s5_w12_14.drop->padded_benes_16x16_s6_w14_15.in:w14,interstage,padded_benes_16x16_s5_w12_14.drop,padded_benes_16x16_s6_w14_15.in,False,False
stage:5:w15:padded_benes_16x16_s5_w13_15.drop->padded_benes_16x16_s6_w14_15.add:w15,interstage,padded_benes_16x16_s5_w13_15.drop,padded_benes_16x16_s6_w14_15.add,False,False
output:padded_benes_16x16_s6_w0_1.th->w0,output,padded_benes_16x16_s6_w0_1.th,O0,False,False
output:padded_benes_16x16_s6_w0_1.drop->w1,output,padded_benes_16x16_s6_w0_1.drop,O1,False,False
output:padded_benes_16x16_s6_w2_3.th->w2,output,padded_benes_16x16_s6_w2_3.th,O2,False,False
output:padded_benes_16x16_s6_w2_3.drop->w3,output,padded_benes_16x16_s6_w2_3.drop,O3,False,False
output:padded_benes_16x16_s6_w4_5.th->w4,output,padded_benes_16x16_s6_w4_5.th,O4,False,False
output:padded_benes_16x16_s6_w4_5.drop->w5,output,padded_benes_16x16_s6_w4_5.drop,O5,False,False
output:padded_benes_16x16_s6_w6_7.th->w6,output,padded_benes_16x16_s6_w6_7.th,O6,False,False
output:padded_benes_16x16_s6_w6_7.drop->w7,output,padded_benes_16x16_s6_w6_7.drop,O7,False,False
output:padded_benes_16x16_s6_w8_9.th->w8,output,padded_benes_16x16_s6_w8_9.th,O8,False,False
output:padded_benes_16x16_s6_w8_9.drop->w9,output,padded_benes_16x16_s6_w8_9.drop,O9,False,True
output:padded_benes_16x16_s6_w10_11.th->w10,output,padded_benes_16x16_s6_w10_11.th,O10,False,True
output:padded_benes_16x16_s6_w10_11.drop->w11,output,padded_benes_16x16_s6_w10_11.drop,O11,False,True
output:padded_benes_16x16_s6_w12_13.th->w12,output,padded_benes_16x16_s6_w12_13.th,O12,False,True
output:padded_benes_16x16_s6_w12_13.drop->w13,output,padded_benes_16x16_s6_w12_13.drop,O13,False,True
output:padded_benes_16x16_s6_w14_15.th->w14,output,padded_benes_16x16_s6_w14_15.th,O14,False,True
output:padded_benes_16x16_s6_w14_15.drop->w15,output,padded_benes_16x16_s6_w14_15.drop,O15,False,True
