candidate_id,A,B,C,D,E,F,proxy_global_opt_assignment_db,is_dp,is_random,is_greedy,is_baseline
e_b867fdd36a04,26.154000000000007,4.46,2176.0,14.844000000000001,7.041833333333334,5.1463290635082295,5.1463290635082295,False,False,False,False
e_f004467194db,25.938000000000002,4.3759999999999994,2176.0,14.398000000000001,6.896940476190476,5.082329063508229,5.082329063508229,False,False,False,False
e_c4f00556efb8,25.982000000000003,4.3759999999999994,2176.0,14.354000000000001,6.892488095238095,5.12632906350823,5.12632906350823,False,False,False,False
e_221017ec8b12,25.982000000000006,4.42,2176.0,14.376000000000001,6.939238095238096,5.082329063508229,5.082329063508229,False,False,False,False
e_4e2eeab9b8f6,26.026000000000003,4.42,2176.0,14.332,6.934785714285714,5.12632906350823,5.12632906350823,False,False,False,False
e_53777caa7b74,23.506000000000004,3.6920000000000006,2176.0,14.376000000000001,6.152285714285714,4.078329063508231,4.078329063508231,False,False,False,False
e_26769143209a,23.594000000000005,3.736,2176.0,14.464000000000002,6.209380952380952,4.078329063508231,4.078329063508231,False,False,False,False
e_5bf3ebc222e3,23.594,3.6920000000000006,2176.0,14.442,6.162630952380953,4.078329063508231,4.078329063508231,False,False,False,False
e_d12e01710434,23.682000000000002,3.736,2176.0,14.530000000000001,6.219726190476191,4.078329063508231,4.078329063508231,False,False,False,False
e_bb8b5e05de5e,23.634,3.4800000000000004,2176.0,14.888000000000002,6.007333333333333,4.078329063508231,4.078329063508231,False,False,False,False
e_8d7a508ea518,23.722,3.524,2176.0,14.976000000000003,6.0644285714285715,4.078329063508231,4.078329063508231,False,False,False,False
e_0b6404ddd37e,23.678,3.4800000000000004,2176.0,14.866000000000001,6.005630952380953,4.078329063508231,4.078329063508231,False,False,False,False
e_2c63f8080503,23.766,3.524,2176.0,14.954,6.062726190476191,4.078329063508231,4.078329063508231,False,False,False,False
e_e1b39fb7d7c3,26.11,4.416,2176.0,14.91,7.0050357142857145,5.10232906350823,5.10232906350823,False,False,False,False
e_ffcbccd73e6f,26.154000000000003,4.46,2176.0,14.866000000000001,7.044583333333333,5.1463290635082295,5.1463290635082295,False,False,False,False
e_49aad0df0576,26.198000000000004,4.416,2176.0,14.976000000000003,7.015380952380953,5.10232906350823,5.10232906350823,False,False,False,False
e_2b955bac783c,26.242000000000008,4.46,2176.0,14.932,7.054928571428571,5.1463290635082295,5.1463290635082295,False,False,False,False
e_7d22439b0372,26.026,4.3759999999999994,2176.0,14.486,6.910035714285714,5.082329063508229,5.082329063508229,False,False,False,False
e_db235ab80416,26.070000000000004,4.3759999999999994,2176.0,14.442000000000002,6.9055833333333325,5.12632906350823,5.12632906350823,False,False,False,False
e_23308cc462ee,26.07,4.42,2176.0,14.464000000000002,6.952333333333334,5.082329063508229,5.082329063508229,False,False,False,False
e_b0523e4fa9fb,26.114,4.42,2176.0,14.42,6.947880952380952,5.12632906350823,5.12632906350823,False,False,False,False
e_2dc7ec51ea33,23.330000000000002,3.6920000000000006,2176.0,14.478,6.160845238095239,4.03432906350823,4.03432906350823,True,False,False,False
e_b23f4387e57c,23.418000000000003,3.736,2176.0,14.566000000000003,6.217940476190477,4.078329063508231,4.078329063508231,True,False,False,False
e_05b838100bae,23.418,3.6920000000000006,2176.0,14.544,6.171190476190477,4.03432906350823,4.03432906350823,False,False,False,False
e_d31ba580d4a1,23.506,3.736,2176.0,14.632000000000001,6.228285714285715,4.078329063508231,4.078329063508231,False,False,False,False
e_1a30e83a0382,23.458,3.4800000000000004,2176.0,14.99,6.015892857142858,4.033077933089609,4.033077933089609,True,False,False,False
e_601341bcaf97,23.546,3.524,2176.0,15.078000000000003,6.072988095238095,4.077077933089608,4.077077933089608,True,False,False,False
e_4a7af52980b9,23.501999999999995,3.4800000000000004,2176.0,14.968000000000002,6.0141904761904765,4.033077933089609,4.033077933089609,True,True,False,False
e_819685294b3c,23.59,3.524,2176.0,15.056000000000001,6.071285714285715,4.077077933089608,4.077077933089608,True,False,False,False
e_5a2be6a3ace0,25.933999999999997,4.416,2176.0,15.012,7.013595238095238,5.10232906350823,5.10232906350823,True,False,False,False
e_8387cb6ccb11,25.978,4.46,2176.0,14.968000000000002,7.053142857142857,5.1463290635082295,5.1463290635082295,True,False,False,False
e_80b084eefa3b,26.022000000000002,4.416,2176.0,15.078000000000003,7.023940476190477,5.10232906350823,5.10232906350823,False,False,False,False
e_c98bb00038a0,26.066000000000006,4.46,2176.0,15.034,7.063488095238095,5.1463290635082295,5.1463290635082295,False,True,False,False
e_fe5a33ef0896,25.849999999999998,4.3759999999999994,2176.0,14.588000000000001,6.918595238095238,5.082329063508229,5.082329063508229,True,False,False,False
e_9bff970324c1,25.894000000000002,4.3759999999999994,2176.0,14.544,6.914142857142856,5.12632906350823,5.12632906350823,True,False,False,False
e_1ce104696462,25.894,4.42,2176.0,14.566000000000003,6.960892857142857,5.082329063508229,5.082329063508229,True,True,False,False
e_38040235e7dd,25.938,4.42,2176.0,14.522,6.956440476190476,5.12632906350823,5.12632906350823,True,False,False,False
e_b2d37370151e,23.418,3.6920000000000006,2176.0,14.566,6.173940476190477,4.077077933089608,4.077077933089608,True,False,False,False
