permutation,num_realizations,bfs_state_id,bfs_state_bits,bfs_cross_count,bfs_wil_db,bfs_total_il_db,bfs_worst_input,bfs_worst_output,bfs_worst_path_id,opt_state_id,opt_state_bits,opt_cross_count,opt_wil_db,opt_total_il_db,opt_worst_input,opt_worst_output,opt_worst_path_id,delta_wil_db,relative_improvement_percent,num_optimal_states,num_exact_optimal_states,assignment_wil_range_db
"[3, 2, 7, 4, 1, 0, 6, 5]",4,59794,01001001100101110,8,4.543154214958167,30.99316218041669,5,0,120,59794,01001001100101110,8,4.543154214958167,30.99316218041669,5,0,120,0.0,0.0,2,2,0.14200000000000035
"[3, 2, 7, 4, 1, 5, 0, 6]",2,59674,01011000100101110,8,4.31344625169022,30.99316218041669,6,0,147,59674,01011000100101110,8,4.31344625169022,30.99316218041669,6,0,147,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 1, 5, 6, 0]",2,59666,01001000100101110,7,4.416405345376791,30.847664441253936,7,0,158,59666,01001000100101110,7,4.416405345376791,30.847664441253936,7,0,158,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 1, 6, 0, 5]",2,43446,01101101100101010,9,4.6851542149581675,31.138659919579446,4,1,108,43446,01101101100101010,9,4.6851542149581675,31.138659919579446,4,1,108,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 1, 6, 5, 0]",2,43454,01111101100101010,10,4.6851542149581675,31.284157658742203,4,1,108,43454,01111101100101010,10,4.6851542149581675,31.284157658742203,4,1,108,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 5, 0, 1, 6]",2,43294,01111000100101010,8,4.55840534537679,30.99316218041669,6,1,146,43294,01111000100101010,8,4.55840534537679,30.99316218041669,6,1,146,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 5, 0, 6, 1]",2,43286,01101000100101010,7,4.661364439063363,30.847664441253936,7,1,157,43286,01101000100101010,7,4.661364439063363,30.847664441253936,7,1,157,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 5, 1, 0, 6]",2,59678,01111000100101110,9,4.31344625169022,31.138659919579446,6,0,147,59678,01111000100101110,9,4.31344625169022,31.138659919579446,6,0,147,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 5, 1, 6, 0]",2,59670,01101000100101110,8,4.416405345376791,30.993162180416693,7,0,158,59670,01101000100101110,8,4.416405345376791,30.993162180416693,7,0,158,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 5, 6, 0, 1]",4,43318,01101100100101010,8,4.661364439063363,30.99316218041669,7,1,157,59710,01111100100101110,10,4.31344625169022,31.2841576587422,6,0,147,0.3479181873731436,7.4638701161725285,2,2,0.3479181873731436
"[3, 2, 7, 4, 5, 6, 1, 0]",4,59702,01101100100101110,9,4.416405345376791,31.138659919579446,7,0,158,59702,01101100100101110,9,4.416405345376791,31.138659919579446,7,0,158,0.0,0.0,2,2,0.14199999999999857
"[3, 2, 7, 4, 6, 0, 1, 5]",2,59826,01001101100101110,9,4.543154214958167,31.138659919579446,5,0,120,59826,01001101100101110,9,4.543154214958167,31.138659919579446,5,0,120,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 6, 0, 5, 1]",2,59834,01011101100101110,10,4.543154214958167,31.2841576587422,5,0,120,59834,01011101100101110,10,4.543154214958167,31.2841576587422,5,0,120,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 6, 1, 0, 5]",2,43442,01001101100101010,8,4.78811330864474,30.99316218041669,5,1,119,43442,01001101100101010,8,4.78811330864474,30.99316218041669,5,1,119,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 6, 1, 5, 0]",2,43450,01011101100101010,9,4.78811330864474,31.138659919579446,5,1,119,43450,01011101100101010,9,4.78811330864474,31.138659919579446,5,1,119,0.0,0.0,2,2,0.0
"[3, 2, 7, 4, 6, 5, 0, 1]",4,43314,01001100100101010,7,4.661364439063363,30.847664441253936,7,1,157,59706,01011100100101110,9,4.31344625169022,31.138659919579446,6,0,147,0.3479181873731436,7.4638701161725285,2,2,0.3479181873731436
"[3, 2, 7, 4, 6, 5, 1, 0]",4,59698,01001100100101110,8,4.416405345376791,30.99316218041669,7,0,158,59698,01001100100101110,8,4.416405345376791,30.99316218041669,7,0,158,0.0,0.0,2,2,0.14199999999999857
"[3, 2, 7, 5, 0, 1, 4, 6]",4,108954,01011001100101011,9,4.78811330864474,31.138659919579446,5,1,119,125342,01111001100101111,11,4.440195121271597,31.42965539790496,4,0,109,0.34791818737314273,7.2662897668898285,2,2,0.34791818737314273
"[3, 2, 7, 5, 0, 1, 6, 4]",4,108946,01001001100101011,8,4.78811330864474,30.993162180416693,5,1,119,125334,01101001100101111,10,4.440195121271597,31.284157658742203,4,0,109,0.34791818737314273,7.2662897668898285,2,2,0.34791818737314273
"[3, 2, 7, 5, 0, 4, 1, 6]",2,108826,01011000100101011,8,4.55840534537679,30.993162180416693,6,1,146,108826,01011000100101011,8,4.55840534537679,30.993162180416693,6,1,146,0.0,0.0,2,2,0.0
